n_clusters,noise_frac,silhouette,davies_bouldin,calinski_harabasz,ari,nmi,dataset,method,params,runtime_s,inertia,n_iter
21,0.0,0.408749462182335,0.7579509908825945,6559.616079450437,,,UberNYC,KMeans++,"{""k"": 21}",0.0833638599999631,7097.055445735098,24.0
22,0.0,0.39852698807181275,0.7584021993881517,6491.263549514816,,,UberNYC,KMeans++,"{""k"": 22}",0.079596400000014,6840.5419771036795,17.0
23,0.0,0.3961254053897408,0.7712373265665511,6451.022061292576,,,UberNYC,KMeans++,"{""k"": 23}",0.08717125800001213,6580.09041381777,27.0
24,0.0,0.3897229529776419,0.7770586677776485,6481.924280498431,,,UberNYC,KMeans++,"{""k"": 24}",0.09331911699996454,6276.052873933487,19.0
25,0.0,0.393137009226384,0.7520500182726056,6496.22660856469,,,UberNYC,KMeans++,"{""k"": 25}",0.09501944199996615,6009.789134232746,20.0
2,0.0,0.320891918738721,1.2837512244674825,106.78511294882401,0.3895046200855466,0.42779830092619897,Ecoli,KMeans++,"{""k"": 2}",0.004873717000009492,1782.2017507061337,3.0
3,0.0,0.3805052808815385,1.2690013179599402,112.71779835398343,0.6740911428830082,0.6366861874280972,Ecoli,KMeans++,"{""k"": 3}",0.005113914999924418,1402.5180425456085,6.0
4,0.0,0.3854530589893402,0.915352600510053,139.9466667926887,0.6768146304601235,0.6450657813177659,Ecoli,KMeans++,"{""k"": 4}",0.005532217999984823,1038.6039577437195,5.0
5,0.0,0.40532238028856343,0.746618653764512,176.24796516389375,0.6971269966289185,0.6663301262437464,Ecoli,KMeans++,"{""k"": 5}",0.006669198000054166,751.4653633379991,4.0
6,0.0,0.40381855842077147,0.6964753274346228,171.657357745228,0.7289104702684768,0.6912211583923641,Ecoli,KMeans++,"{""k"": 6}",0.008018292000087968,653.1756536777273,5.0
7,0.0,0.3542924441960294,0.8609716376580054,167.54908468584478,0.7310998894515813,0.6793872050753306,Ecoli,KMeans++,"{""k"": 7}",0.008490166999990834,579.9379336995092,9.0
8,0.0,0.2604668582344233,1.0912332039080679,163.2221629703183,0.5079066892753646,0.6406204745931141,Ecoli,KMeans++,"{""k"": 8}",0.009017109000069468,524.6018857662854,12.0
9,0.0,0.25578476164594427,1.088030658585907,155.85908857876896,0.42729725582217526,0.5866575955957847,Ecoli,KMeans++,"{""k"": 9}",0.009834444000034637,488.66976075362754,6.0
10,0.0,0.24809719517821693,1.1005978293454268,150.38910688771955,0.372189300762968,0.5793504915890658,Ecoli,KMeans++,"{""k"": 10}",0.011614903999998205,456.5353404379151,16.0
11,0.0,0.2280811934120384,1.1763874739033715,141.94461173115215,0.39013021869339376,0.5614785885574058,Ecoli,KMeans++,"{""k"": 11}",0.01181737299998531,438.1906625818454,18.0
12,0.0,0.23648906636816744,1.1276435095303552,136.09972094749776,0.3378874071666705,0.5905011417902011,Ecoli,KMeans++,"{""k"": 12}",0.01257856699999138,418.4554854014986,13.0
13,0.0,0.2344177802906027,1.120461086491288,133.78011201740588,0.3438041811543647,0.5775059384368353,Ecoli,KMeans++,"{""k"": 13}",0.013355470999954377,393.9593594658164,14.0
14,0.0,0.21706248007458653,1.1707921824599203,128.3390687386577,0.29723033932815923,0.5615474495430499,Ecoli,KMeans++,"{""k"": 14}",0.020115712999995594,380.49688328579776,10.0
15,0.0,0.20864858530455102,1.1884411691176056,124.18224064082276,0.2751989270449719,0.5495348725326241,Ecoli,KMeans++,"{""k"": 15}",0.017841682000039327,366.5808055859727,10.0
16,0.0,0.22706675346845184,1.1258647791640672,123.14331457362277,0.28299949137151204,0.5684018538582979,Ecoli,KMeans++,"{""k"": 16}",0.01528190600004109,347.29487931642734,9.0
17,0.0,0.19977058689873495,1.186824348664664,117.96667295677491,0.29240610670074013,0.5782839954520602,Ecoli,KMeans++,"{""k"": 17}",0.016093705000002956,340.04047153568945,8.0
18,0.0,0.22226902691152295,1.111832524916164,117.99359738239271,0.2433658088870963,0.5452107392291019,Ecoli,KMeans++,"{""k"": 18}",0.01677080299998579,321.8463989645364,13.0
19,0.0,0.1980358087856858,1.2510502119201443,114.00241694478808,0.22705626675138577,0.5436830564487826,Ecoli,KMeans++,"{""k"": 19}",0.017560620000040217,314.719420900434,14.0
20,0.0,0.21523145513103978,1.121371422619293,114.10612112729389,0.23447041822604062,0.549506952071479,Ecoli,KMeans++,"{""k"": 20}",0.016362085000082516,299.20576590382456,14.0
21,0.0,0.21381027735409122,1.1685821207391511,110.50896041642959,0.21328807326294058,0.5369093067469407,Ecoli,KMeans++,"{""k"": 21}",0.020729965000100492,293.3969983358019,11.0
22,0.0,0.20605943005174557,1.2065541068310177,110.38480680552487,0.21223861244236955,0.5219483556483089,Ecoli,KMeans++,"{""k"": 22}",0.01963728999999148,280.5871156703256,9.0
23,0.0,0.21683277908703052,1.1167840625233025,110.34234438116268,0.2124768808678132,0.5428419843159846,Ecoli,KMeans++,"{""k"": 23}",0.022059788999968077,268.62525735047865,11.0
24,0.0,0.20137003310492524,1.127799067090592,105.4086738892101,0.20579190710397652,0.5345980478318526,Ecoli,KMeans++,"{""k"": 24}",0.020000046999939514,268.17136903100027,7.0
25,0.0,0.2139800189869538,1.1154200325044936,107.53616941680286,0.17185201153541965,0.5235477084792761,Ecoli,KMeans++,"{""k"": 25}",0.020642750999968484,252.9409998273991,12.0
823,0.29027848966342046,0.29747111166859325,0.41878832705012675,219487.13487978204,,,Earthquakes,DBSCAN,"{""eps"": 27.395221, ""min_samples"": 4}",0.07708497100009026,,
720,0.17657611481291646,0.08285881060280717,0.4838117142536302,62220.53081238213,,,Earthquakes,DBSCAN,"{""eps"": 41.092832, ""min_samples"": 4}",0.08397659999991447,,
506,0.10588587049376388,0.025857654048865048,0.47842099221529416,17208.129701858503,,,Earthquakes,DBSCAN,"{""eps"": 60.269486, ""min_samples"": 4}",0.0940158490000158,,
376,0.06330087134802666,-0.08707933374586573,0.522237315429627,5470.189512968428,,,Earthquakes,DBSCAN,"{""eps"": 87.664707, ""min_samples"": 4}",0.10631358199998431,,
277,0.037032291132752436,-0.15120643149067203,0.5182446798464704,4681.636852460372,,,Earthquakes,DBSCAN,"{""eps"": 123.278495, ""min_samples"": 4}",0.12720239800000854,,
202,0.023876644455834616,-0.1251406239355435,0.5140216062477276,3811.9960761958673,,,Earthquakes,DBSCAN,"{""eps"": 164.371326, ""min_samples"": 4}",0.14709131600000092,,
133,0.016060140099094483,-0.22543465965182263,0.5837108604889072,3430.7609856945946,,,Earthquakes,DBSCAN,"{""eps"": 219.161768, ""min_samples"": 4}",0.16700856199997816,,
104,0.011617973688706646,-0.19953954606906674,0.661915086279712,3985.2889180072843,,,Earthquakes,DBSCAN,"{""eps"": 273.95221, ""min_samples"": 4}",0.19389089200001308,,
63,0.009268751067828464,-0.2706394426415677,0.7311200157802341,5078.041800212831,,,Earthquakes,DBSCAN,"{""eps"": 356.137874, ""min_samples"": 4}",0.23459595200006333,,
37,0.006278831368528959,-0.2608708510011316,0.7877116215878309,6250.989364722774,,,Earthquakes,DBSCAN,"{""eps"": 465.718758, ""min_samples"": 4}",0.28184504099999685,,
27,0.0037587561934050912,-0.2015206216690672,0.8367318267993076,8317.856218768578,,,Earthquakes,DBSCAN,"{""eps"": 602.694863, ""min_samples"": 4}",0.3210029650000479,,
12,0.0019220912352639673,-0.44374840441417684,0.9983231949619343,1390.1181174187964,,,Earthquakes,DBSCAN,"{""eps"": 821.856631, ""min_samples"": 4}",0.4879576519999773,,
339,0.47736203656244663,0.38164554442772514,0.4306036628581519,695959.8289968169,,,Earthquakes,DBSCAN,"{""eps"": 27.395221, ""min_samples"": 8}",0.07512595000002875,,
316,0.33478558004442166,0.22110427793783718,0.452284265739027,118962.27227684732,,,Earthquakes,DBSCAN,"{""eps"": 41.092832, ""min_samples"": 8}",0.08527228399998421,,
260,0.2112591833247907,0.1449287766005161,0.470281638586078,47209.66320524599,,,Earthquakes,DBSCAN,"{""eps"": 60.269486, ""min_samples"": 8}",0.09510172599993894,,
207,0.12749871860584316,0.08102467275044985,0.47649924229852864,29146.084086951134,,,Earthquakes,DBSCAN,"{""eps"": 87.664707, ""min_samples"": 8}",0.10857444300006591,,
152,0.0846574406287374,-0.09477760056719133,0.466625940650822,8625.928213990192,,,Earthquakes,DBSCAN,"{""eps"": 123.278495, ""min_samples"": 8}",0.1264648369999577,,
131,0.05565521954553221,0.1412576303478002,0.4567246880966386,9520.403455486537,,,Earthquakes,DBSCAN,"{""eps"": 164.371326, ""min_samples"": 8}",0.14247087499995814,,
94,0.035580044421664105,-0.019991171878237502,0.5703529166127473,6701.464249965067,,,Earthquakes,DBSCAN,"{""eps"": 219.161768, ""min_samples"": 8}",0.1730576159999373,,
68,0.023620365624466087,-0.03141144452724162,0.6009684514562371,6161.019327156867,,,Earthquakes,DBSCAN,"{""eps"": 273.95221, ""min_samples"": 8}",0.1951937949999092,,
51,0.017683239364428498,-0.06467830995501613,0.6717244507989424,8001.32638532596,,,Earthquakes,DBSCAN,"{""eps"": 356.137874, ""min_samples"": 8}",0.2142190639999626,,
29,0.010806424056039638,-0.133594346067365,0.6899767839258418,8391.418534217242,,,Earthquakes,DBSCAN,"{""eps"": 465.718758, ""min_samples"": 8}",0.5080887990000065,,
18,0.006620536477020332,-0.0901870848228473,0.7551031687601818,12889.711380175208,,,Earthquakes,DBSCAN,"{""eps"": 602.694863, ""min_samples"": 8}",0.33819935600001827,,
10,0.0030753459764223477,-0.3696564602435912,0.9827127004643597,1694.2644071056986,,,Earthquakes,DBSCAN,"{""eps"": 821.856631, ""min_samples"": 8}",0.44087739999997666,,
124,0.7063898855287887,0.5381153746767398,0.3910968087914558,1898197.7883837011,,,Earthquakes,DBSCAN,"{""eps"": 27.395221, ""min_samples"": 16}",0.07858568900007867,,
133,0.5216982743892021,0.46700043977117656,0.4068245366365593,707053.2557601484,,,Earthquakes,DBSCAN,"{""eps"": 41.092832, ""min_samples"": 16}",0.08280089899994891,,
132,0.3742098069366137,0.3307020724744674,0.39637281577461597,238267.93074340036,,,Earthquakes,DBSCAN,"{""eps"": 60.269486, ""min_samples"": 16}",0.09444612900006177,,
